"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 09 12:43:10 MSK 2024","Tue Jul 09 12:43:11 MSK 2024","1142","","tests\createIssue.spec.js","Создание задачи","","","должен создавать новую задачу",""
"passed","Tue Jul 09 12:43:10 MSK 2024","Tue Jul 09 12:43:10 MSK 2024","735","","tests\editIssue.spec.js","Редактирование задачи","","","должен редактировать содержимое уже созданной задачи",""
"passed","Tue Jul 09 12:43:10 MSK 2024","Tue Jul 09 12:43:11 MSK 2024","258","","tests\lockIssue.spec.js","Блокировка задачи","","","должен блокировать задачу",""
